City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Ormoc City,1,0,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,4,2,1.0,0,0,0,,0.0,0.0,0.0
Pagadian City,0,0,0.0,3,0,0.0,1,0,0.0,2,0,0.0,3,3,0,0.0,0,0,0,,0.0,0.0,0.0
San Antonio,1,0,0.0,2,0,0.0,1,0,0.0,2,0,0.0,3,3,0,0.0,0,0,0,,0.0,0.0,0.0
Tanauan City,1,0,0.0,4,0,0.0,1,0,0.0,0,0,0.0,5,1,-4,-0.8,0,0,0,,0.0,0.0,0.0
Aklan,1,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
Bacoor City,0,0,0.0,3,1,0.3333333333333333,0,0,0.0,2,1,0.5,3,2,-1,-0.33333333333333337,1,1,0,0.0,47850.0,5801.4,-42048.6
Baliuag,1,0,0.0,1,0,0.0,1,0,0.0,2,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
Baliwag,0,0,0.0,5,0,0.0,0,0,0.0,0,0,0.0,5,0,-5,-1.0,0,0,0,,0.0,0.0,0.0
Bocaue,1,0,0.0,3,0,0.0,0,0,0.0,1,0,0.0,4,1,-3,-0.75,0,0,0,,0.0,0.0,0.0
Bukidnon,0,0,0.0,4,0,0.0,0,0,0.0,1,0,0.0,4,1,-3,-0.75,0,0,0,,0.0,0.0,0.0
Dagupan,0,0,0.0,3,0,0.0,2,0,0.0,0,0,0.0,3,2,-1,-0.33333333333333337,0,0,0,,0.0,0.0,0.0
Dipolog City,1,0,0.0,1,0,0.0,1,0,0.0,2,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
Ilocos Norte,2,0,0.0,2,0,0.0,1,0,0.0,0,0,0.0,4,1,-3,-0.75,0,0,0,,0.0,0.0,0.0
Kalibo,0,0,0.0,1,0,0.0,2,0,0.0,2,0,0.0,1,4,3,3.0,0,0,0,,0.0,0.0,0.0
Koronadal City,1,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
Malasiqui,1,0,0.0,1,0,0.0,1,0,0.0,2,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
Mariveles,0,0,0.0,4,1,0.25,0,0,0.0,1,0,0.0,4,1,-3,-0.75,1,0,-1,-1.0,10895.0,0.0,-10895.0
Mindoro,0,0,0.0,1,0,0.0,1,0,0.0,3,0,0.0,1,4,3,3.0,0,0,0,,0.0,0.0,0.0
Morong,0,0,0.0,2,0,0.0,0,0,0.0,3,0,0.0,2,3,1,0.5,0,0,0,,0.0,0.0,0.0
